Image,Prediction
7153.jpg,street
18068.jpg,glacier
13398.jpg,sea
10458.jpg,street
1467.jpg,mountain
10486.jpg,street
1764.jpg,street
16497.jpg,forest
6027.jpg,street
22894.jpg,street
17829.jpg,mountain
19881.jpg,mountain
3778.jpg,buildings
16319.jpg,sea
10591.jpg,glacier
17598.jpg,forest
14201.jpg,buildings
17351.jpg,buildings
8852.jpg,street
7976.jpg,buildings
17039.jpg,mountain
19757.jpg,glacier
20532.jpg,glacier
10038.jpg,sea
4140.jpg,mountain
4976.jpg,sea
9986.jpg,sea
17501.jpg,sea
18983.jpg,buildings
20244.jpg,mountain
9136.jpg,street
2690.jpg,mountain
10307.jpg,glacier
7622.jpg,sea
13917.jpg,glacier
15951.jpg,street
10461.jpg,street
24089.jpg,mountain
6320.jpg,buildings
5103.jpg,forest
12421.jpg,forest
14562.jpg,sea
6133.jpg,forest
15863.jpg,forest
19501.jpg,mountain
4903.jpg,glacier
6304.jpg,glacier
17728.jpg,sea
5706.jpg,mountain
23730.jpg,glacier
9248.jpg,forest
21028.jpg,forest
15006.jpg,mountain
7676.jpg,glacier
3248.jpg,sea
8990.jpg,forest
6595.jpg,buildings
13814.jpg,sea
21202.jpg,mountain
23199.jpg,glacier
13224.jpg,mountain
23331.jpg,mountain
7066.jpg,forest
3883.jpg,mountain
8493.jpg,buildings
15649.jpg,sea
17437.jpg,forest
22211.jpg,sea
3725.jpg,street
15576.jpg,street
14697.jpg,glacier
21467.jpg,sea
10585.jpg,forest
22904.jpg,buildings
15896.jpg,buildings
13104.jpg,buildings
1468.jpg,mountain
7025.jpg,buildings
17059.jpg,street
8378.jpg,street
6047.jpg,street
3345.jpg,forest
7270.jpg,mountain
17079.jpg,sea
8401.jpg,sea
5595.jpg,mountain
6850.jpg,forest
11194.jpg,street
23556.jpg,glacier
5802.jpg,sea
13541.jpg,forest
4693.jpg,buildings
18964.jpg,glacier
6459.jpg,buildings
18861.jpg,glacier
12764.jpg,mountain
21111.jpg,sea
161.jpg,street
14293.jpg,street
14715.jpg,glacier
11695.jpg,mountain
5609.jpg,buildings
13509.jpg,sea
16508.jpg,mountain
19863.jpg,forest
11500.jpg,glacier
6835.jpg,mountain
23831.jpg,sea
10288.jpg,mountain
572.jpg,street
8979.jpg,mountain
19472.jpg,street
11617.jpg,forest
10211.jpg,mountain
18859.jpg,glacier
13296.jpg,mountain
12834.jpg,sea
13641.jpg,forest
17876.jpg,forest
19278.jpg,glacier
23904.jpg,street
23043.jpg,mountain
21439.jpg,sea
760.jpg,sea
19082.jpg,street
16220.jpg,mountain
2554.jpg,mountain
3981.jpg,glacier
12608.jpg,buildings
23803.jpg,forest
4503.jpg,buildings
23799.jpg,sea
8840.jpg,glacier
1745.jpg,street
14384.jpg,forest
6832.jpg,glacier
18619.jpg,glacier
20203.jpg,sea
11573.jpg,buildings
14992.jpg,glacier
6647.jpg,forest
2911.jpg,buildings
15219.jpg,buildings
12609.jpg,forest
18512.jpg,sea
23778.jpg,mountain
21625.jpg,mountain
12297.jpg,forest
11538.jpg,mountain
24288.jpg,sea
7230.jpg,forest
20830.jpg,buildings
19618.jpg,mountain
20659.jpg,sea
1834.jpg,sea
17696.jpg,forest
529.jpg,sea
16361.jpg,mountain
16181.jpg,forest
754.jpg,forest
19914.jpg,sea
11065.jpg,glacier
15157.jpg,sea
3838.jpg,glacier
22507.jpg,street
4220.jpg,street
5876.jpg,mountain
4343.jpg,street
16839.jpg,mountain
14018.jpg,street
17884.jpg,forest
14929.jpg,street
14558.jpg,street
19029.jpg,buildings
22430.jpg,forest
19473.jpg,mountain
3252.jpg,glacier
18750.jpg,mountain
19520.jpg,street
18478.jpg,glacier
21835.jpg,forest
23680.jpg,glacier
17157.jpg,mountain
15013.jpg,glacier
19690.jpg,buildings
9081.jpg,buildings
3925.jpg,mountain
5010.jpg,sea
21003.jpg,forest
17293.jpg,street
5274.jpg,forest
9747.jpg,sea
19481.jpg,glacier
23665.jpg,forest
8290.jpg,sea
13162.jpg,glacier
19047.jpg,mountain
13460.jpg,mountain
16096.jpg,forest
7557.jpg,mountain
16689.jpg,sea
2217.jpg,street
12192.jpg,sea
2020.jpg,street
360.jpg,street
7894.jpg,mountain
4809.jpg,street
21833.jpg,mountain
12082.jpg,mountain
14310.jpg,mountain
2499.jpg,sea
3703.jpg,buildings
14732.jpg,forest
19105.jpg,forest
15010.jpg,street
199.jpg,forest
11839.jpg,forest
4277.jpg,mountain
13303.jpg,mountain
23092.jpg,glacier
11308.jpg,mountain
12347.jpg,buildings
7923.jpg,mountain
21424.jpg,buildings
12211.jpg,sea
4652.jpg,sea
3648.jpg,glacier
23479.jpg,sea
3986.jpg,street
15610.jpg,glacier
23880.jpg,sea
8150.jpg,mountain
2719.jpg,forest
21113.jpg,forest
18818.jpg,sea
8568.jpg,buildings
23674.jpg,mountain
10021.jpg,forest
4721.jpg,forest
2283.jpg,buildings
5796.jpg,buildings
16934.jpg,glacier
2459.jpg,street
23128.jpg,glacier
408.jpg,glacier
19619.jpg,glacier
13545.jpg,sea
5863.jpg,street
19842.jpg,forest
7869.jpg,buildings
7005.jpg,sea
5962.jpg,sea
18536.jpg,mountain
2760.jpg,street
4286.jpg,street
11531.jpg,buildings
3371.jpg,forest
7983.jpg,glacier
12062.jpg,mountain
3735.jpg,glacier
18049.jpg,buildings
6399.jpg,buildings
17358.jpg,mountain
13686.jpg,glacier
1061.jpg,sea
22613.jpg,sea
3517.jpg,glacier
12577.jpg,glacier
19631.jpg,glacier
19310.jpg,buildings
1239.jpg,mountain
11835.jpg,forest
6764.jpg,mountain
1893.jpg,glacier
3851.jpg,buildings
8391.jpg,forest
18623.jpg,sea
11971.jpg,buildings
10871.jpg,forest
11693.jpg,mountain
9858.jpg,forest
5134.jpg,buildings
16851.jpg,forest
9296.jpg,buildings
2933.jpg,sea
2595.jpg,mountain
15063.jpg,sea
7732.jpg,glacier
1227.jpg,sea
17949.jpg,mountain
5934.jpg,mountain
16663.jpg,sea
19149.jpg,glacier
3093.jpg,glacier
11357.jpg,mountain
14631.jpg,glacier
6077.jpg,glacier
16995.jpg,forest
6938.jpg,mountain
1920.jpg,buildings
11776.jpg,buildings
13016.jpg,glacier
10674.jpg,mountain
19685.jpg,buildings
172.jpg,forest
9240.jpg,sea
16232.jpg,mountain
19759.jpg,forest
4490.jpg,sea
19340.jpg,forest
16782.jpg,forest
16996.jpg,street
3402.jpg,mountain
13838.jpg,street
14981.jpg,mountain
17546.jpg,forest
17140.jpg,forest
3730.jpg,sea
17832.jpg,glacier
3600.jpg,forest
12023.jpg,sea
16273.jpg,sea
1511.jpg,buildings
2302.jpg,forest
13001.jpg,mountain
7572.jpg,sea
1404.jpg,mountain
15890.jpg,mountain
23504.jpg,buildings
5555.jpg,street
24331.jpg,forest
2756.jpg,street
15368.jpg,glacier
12850.jpg,street
19620.jpg,glacier
14942.jpg,forest
7269.jpg,forest
19146.jpg,sea
13028.jpg,mountain
14414.jpg,mountain
507.jpg,forest
15591.jpg,glacier
3578.jpg,forest
1200.jpg,mountain
21528.jpg,forest
1769.jpg,sea
23820.jpg,glacier
6665.jpg,sea
7419.jpg,forest
6672.jpg,forest
21773.jpg,glacier
233.jpg,sea
3049.jpg,buildings
2190.jpg,street
23378.jpg,buildings
4363.jpg,street
4706.jpg,buildings
6644.jpg,forest
17578.jpg,street
11965.jpg,mountain
14406.jpg,forest
10768.jpg,forest
2825.jpg,glacier
5473.jpg,buildings
692.jpg,forest
18608.jpg,buildings
19008.jpg,buildings
12984.jpg,forest
12501.jpg,buildings
9914.jpg,glacier
17573.jpg,forest
10677.jpg,glacier
661.jpg,forest
23434.jpg,sea
17276.jpg,street
20877.jpg,street
3326.jpg,mountain
7934.jpg,mountain
4580.jpg,mountain
1008.jpg,street
17653.jpg,sea
14821.jpg,buildings
13571.jpg,sea
1544.jpg,sea
9341.jpg,forest
17467.jpg,forest
19968.jpg,forest
393.jpg,street
8468.jpg,glacier
20775.jpg,buildings
3681.jpg,buildings
9264.jpg,forest
22302.jpg,glacier
15947.jpg,glacier
3052.jpg,glacier
12475.jpg,sea
13547.jpg,sea
16950.jpg,mountain
3715.jpg,mountain
15237.jpg,street
19838.jpg,sea
21944.jpg,mountain
12422.jpg,glacier
21825.jpg,forest
16323.jpg,forest
20224.jpg,forest
6357.jpg,buildings
9864.jpg,street
3565.jpg,street
7217.jpg,mountain
16907.jpg,buildings
17231.jpg,glacier
12056.jpg,mountain
3161.jpg,buildings
4328.jpg,street
11766.jpg,mountain
19414.jpg,forest
16039.jpg,glacier
18172.jpg,street
19549.jpg,sea
4724.jpg,forest
15722.jpg,street
1125.jpg,sea
2851.jpg,glacier
11603.jpg,buildings
17870.jpg,glacier
8817.jpg,sea
19315.jpg,mountain
5739.jpg,forest
17961.jpg,street
8117.jpg,mountain
2035.jpg,forest
9791.jpg,mountain
156.jpg,buildings
2734.jpg,sea
15552.jpg,sea
8506.jpg,street
23424.jpg,glacier
9700.jpg,forest
22499.jpg,buildings
24333.jpg,buildings
21681.jpg,glacier
16014.jpg,forest
252.jpg,mountain
22466.jpg,street
3855.jpg,mountain
12326.jpg,glacier
7317.jpg,forest
18975.jpg,glacier
10013.jpg,mountain
17641.jpg,street
8451.jpg,street
15964.jpg,sea
15904.jpg,sea
7368.jpg,mountain
4369.jpg,buildings
18879.jpg,street
4411.jpg,forest
8808.jpg,sea
23059.jpg,glacier
16958.jpg,forest
6534.jpg,mountain
21561.jpg,forest
20258.jpg,glacier
21122.jpg,sea
12809.jpg,buildings
10651.jpg,glacier
15850.jpg,street
18613.jpg,mountain
16743.jpg,mountain
15077.jpg,forest
3776.jpg,mountain
15738.jpg,buildings
4080.jpg,mountain
818.jpg,glacier
12725.jpg,street
22772.jpg,street
12800.jpg,forest
1136.jpg,buildings
24117.jpg,street
12606.jpg,forest
17649.jpg,mountain
17762.jpg,street
24164.jpg,mountain
1509.jpg,sea
6013.jpg,glacier
23488.jpg,mountain
9469.jpg,sea
21084.jpg,buildings
1797.jpg,sea
19979.jpg,mountain
16501.jpg,glacier
6577.jpg,mountain
15762.jpg,glacier
12437.jpg,mountain
4792.jpg,buildings
15583.jpg,forest
17538.jpg,glacier
17447.jpg,mountain
21446.jpg,forest
15832.jpg,mountain
7964.jpg,buildings
7352.jpg,forest
6251.jpg,forest
7389.jpg,sea
13786.jpg,mountain
14050.jpg,mountain
10818.jpg,street
7614.jpg,street
12824.jpg,sea
10232.jpg,glacier
20483.jpg,glacier
1166.jpg,sea
6300.jpg,mountain
23532.jpg,glacier
18522.jpg,street
19106.jpg,sea
12278.jpg,street
15148.jpg,buildings
7130.jpg,sea
22554.jpg,street
18352.jpg,sea
8287.jpg,buildings
18013.jpg,glacier
6063.jpg,street
12362.jpg,buildings
13939.jpg,glacier
7986.jpg,mountain
14506.jpg,forest
11638.jpg,sea
19745.jpg,forest
4817.jpg,sea
14303.jpg,glacier
16454.jpg,buildings
8704.jpg,street
14877.jpg,buildings
15396.jpg,forest
3380.jpg,mountain
17623.jpg,street
1678.jpg,mountain
2326.jpg,sea
2438.jpg,glacier
1130.jpg,glacier
15726.jpg,street
15040.jpg,glacier
21324.jpg,street
15186.jpg,mountain
18585.jpg,forest
21489.jpg,sea
4495.jpg,street
10475.jpg,mountain
6001.jpg,mountain
7921.jpg,glacier
12153.jpg,glacier
9665.jpg,buildings
24068.jpg,forest
3231.jpg,mountain
2728.jpg,buildings
21131.jpg,street
10119.jpg,sea
12409.jpg,street
21515.jpg,glacier
12155.jpg,glacier
1664.jpg,sea
12867.jpg,glacier
14082.jpg,sea
3212.jpg,street
9020.jpg,sea
21026.jpg,mountain
4732.jpg,street
2467.jpg,mountain
22535.jpg,sea
17408.jpg,mountain
22605.jpg,street
2588.jpg,glacier
660.jpg,mountain
16015.jpg,buildings
2920.jpg,glacier
15629.jpg,forest
7796.jpg,forest
7905.jpg,mountain
16841.jpg,glacier
3065.jpg,street
21767.jpg,mountain
20237.jpg,glacier
8614.jpg,glacier
7249.jpg,street
21619.jpg,mountain
15849.jpg,buildings
905.jpg,mountain
14520.jpg,glacier
13712.jpg,street
16987.jpg,forest
16725.jpg,mountain
10209.jpg,forest
24105.jpg,mountain
10905.jpg,sea
11430.jpg,mountain
16772.jpg,sea
21863.jpg,glacier
9565.jpg,mountain
5991.jpg,sea
10082.jpg,street
1681.jpg,sea
7867.jpg,glacier
4925.jpg,buildings
6348.jpg,forest
6059.jpg,street
21778.jpg,forest
13305.jpg,glacier
15737.jpg,mountain
2972.jpg,sea
22888.jpg,buildings
18583.jpg,street
10813.jpg,sea
12662.jpg,mountain
2898.jpg,mountain
3471.jpg,sea
6952.jpg,glacier
17792.jpg,glacier
8265.jpg,forest
8651.jpg,mountain
4072.jpg,glacier
385.jpg,mountain
17023.jpg,sea
14801.jpg,mountain
18036.jpg,mountain
23410.jpg,sea
23754.jpg,sea
12095.jpg,glacier
14402.jpg,mountain
17012.jpg,street
400.jpg,glacier
3246.jpg,glacier
23561.jpg,mountain
8829.jpg,glacier
15151.jpg,mountain
21315.jpg,mountain
17596.jpg,sea
16357.jpg,mountain
14735.jpg,buildings
1436.jpg,forest
13252.jpg,glacier
15527.jpg,street
11463.jpg,mountain
22449.jpg,glacier
4842.jpg,sea
1337.jpg,buildings
4324.jpg,street
16487.jpg,mountain
3351.jpg,mountain
11596.jpg,sea
10572.jpg,mountain
18738.jpg,mountain
14421.jpg,sea
20681.jpg,mountain
12712.jpg,glacier
3433.jpg,buildings
16477.jpg,street
4733.jpg,street
8936.jpg,mountain
12291.jpg,street
4866.jpg,mountain
3707.jpg,mountain
9995.jpg,forest
14908.jpg,glacier
20939.jpg,sea
23415.jpg,street
12480.jpg,street
18633.jpg,sea
4618.jpg,street
22788.jpg,forest
13275.jpg,glacier
9593.jpg,glacier
8887.jpg,glacier
3605.jpg,forest
20169.jpg,mountain
20466.jpg,sea
22454.jpg,mountain
17052.jpg,glacier
1802.jpg,forest
14369.jpg,sea
1821.jpg,glacier
10284.jpg,mountain
18948.jpg,street
7566.jpg,sea
7770.jpg,street
23178.jpg,glacier
182.jpg,street
10397.jpg,sea
13581.jpg,sea
12778.jpg,sea
622.jpg,mountain
7244.jpg,buildings
1992.jpg,glacier
5430.jpg,sea
19856.jpg,sea
7575.jpg,sea
2814.jpg,glacier
5737.jpg,buildings
15891.jpg,glacier
3690.jpg,sea
